,listing,price,brand,size
0,"NWT Trader Joe's Georgia Reusable Shopping Bag
          
      NWT",12.0,Trader Joe,OS
1,Vera Bradley Retired English Rose Mailbag Crossbody Brown Pink Floral,40.0,Vera Bradley,OS
2,Blue funky fun vinyl Floral handmade Print Shoulder Bag,12.0,Diane Randall,OS
3,"Bling, $10,000 stack of money snap clap closure beaded clutch with strap hooks",19.0,No Brand Listed,No Size Listed
4,Cream vintage Aztec leather crossbody bag,55.0,chelikyh,OS
5,Hollister Pink and Orange Backpack Vibrant Floral‎ Design,30.0,Hollister,OS
6,"Violet Ray Teal Clutch/Pouch
          
      NWT",15.0,Violet Ray,OS
7,"🖤🩷Juicy Couture Lovers Club Liquorice
Black/Pink Camera Shoulder Bag
Crown NWT🩷🖤",68.0,Juicy Couture,OS
8,"Brand new***Victoria’s Secret Black/Red Plaid Tote Handbag Purse
          
      NWT",20.0,Victoria,OS
9,✨ VINTAGE ✨ Liz Claiborne Colorful Plaid Leather and Canvas Crossbody Bag,25.0,Liz Claiborne,OS
10,"⭐🔥BUY NOW, PAY LATER!!!🔥⭐",500.0,Louis Vuitton,OS
11,"NWT Michael Kors jet set travel large chain shoulder tote NWT black w/ silver
          
      NWT",200.0,Michael Kors,OS
12,"Taylor Swift Eras Tour set of Two 14.5” discography tote bags NWOT
          
      NWT",20.0,No Brand Listed,No Size Listed
13,Witches spell book 📚 purse,36.0,No Brand Listed,No Size Listed
14,"🎃Trader Joe’s Halloween Canvas Tote Bag NWT
          
      NWT",8.0,Trader Joe,OS
15,"London Fog Navy Blue Clutch Wristlet
          
      NWT",18.0,London Fog,OS
16,Brighton Black Croc Embossed Leather Tote Shoulder Bag,50.0,Brighton,OS
17,"Randolph Duke The Look Woven Convertible Shoulder‎ Bag Clutch
          
      NWT",37.0,Randolph Duke,No Size Listed
18,CLAUDIA FIRENZE Floral Tote Bag Mase in Italy,67.0,Claudia Firenze,OS
19,Cateepbaby Backpack,60.0,Cateepbaby,OS
20,The Sak Pebbled Leather & Canvas Zipper Backpack,45.0,The Sak,OS
21,"LARGE COACH SHOULDER  BAG JACQUARD  C AND STURDY 16"" W X 13"" L GENUINE LEATHER",199.0,Coach,No Size Listed
22,"Free People Micro Buti Pouch - #1010
          
      NWT",40.0,Free People,OS
23,Miu Miu Small Hobo Bag,571.0,Miu Miu,OS
24,Elliot Lucca Black Leather Handbag Satin Interior,25.0,Elliott Lucca,OS
25,Stradivarius Crossbody Medium Faux Leather brown Purse handle strap Gold lock,10.0,stradivarius,OS
26,Louis Vuitton Murakami Elise Compact Wallet White Multicolore Monogram Vintage,450.0,Louis Vuitton,No Size Listed
27,Gucci Brown Drawstring Dust Bags (2),38.0,Gucci,No Size Listed
28,Nathaniel Colorful Strap Bucket Bag,15.0,nathaniel,OS
29,Vintage Y2K Betty Boop Tote Bag Purse Y2K‎ Girly Fashion Cartoon Purse,29.0,Betty Boop,OS
30,"Michael Kors Whipped Chelsea Denim Hobo Bag
          
      NWT",180.0,Michael Kors,OS
31,Alfani Black Leather Accessory,14.0,Alfani,OS
32,Givenchy perfume  Elegant Black Women's Bag,55.0,Givenchy,OS
33,"New Kate Spade tonight crossbody clutch
          
      NWT",220.0,kate spade,OS
34,"Two Myra Bag Cream Tote with Inspirational Print ( Shoe Bags)
          
      NWT",17.0,Myra Bag,OS
35,Handwoven Wayuu Mochila bucket style crocheted tribal bag boho indie Colombian,48.0,Wayuu Tribe,OS
36,"NWT- LUG- COUPE LOVE LE CROSSBODY- Teal OR White
          
      NWT",40.0,lug,Various
37,Vera Bradley Iconic Small Backpack in Park Stripe,75.0,Vera Bradley,OS
38,American Vintage Off White Tote with Wine red Script,20.0,American Vintage,OS
39,Fossil Monica Turnlock Green Pebbled Leather Crossbody Bag,44.0,Fossil,OS
40,$5 or FREE GIFT W/BUNDLE of 2+ items Silver Crate&Barrel zip jewelry case 🤍,5.0,Crate,OS
41,Street Level Teal Backpack with Floral Design,20.0,Street Level,OS
42,Kate Spade Pink Satchel Structured Design,125.0,kate spade,OS
43,Patricia Nash - Ardales  - Black Gold Silver,30.0,Patricia Nash,OS
44,"Straw bucket purse with adjustable crossbody strap NEW
          
      NWT",15.0,No Brand Listed,No Size Listed
45,Ivivva athletica zigzag ruffle duffel bag,87.0,Ivivva,OS
46,"XOXO Blush Embossed Shoulder/Cross Body Bag with Gold Charm
          
      NWT",40.0,XOXO,OS
47,Burgundy Leather change purse with Cutout Design,5.0,No Brand Listed,No Size Listed
48,Relic Handbag Black Faux Leather Double Handle Braided Shoulder Bag,15.0,Relic,OS
49,Kate Spade Mustard Yellow Long Wallet with Tassel,63.0,kate spade,Approx 8x4in
50,"Classic Shoulder Bag purse, genuine Leather. NWT
          
      NWT",19.0,Peck,No Size Listed
51,lululemon athletica Black Crossbody Bag-5L,55.0,lululemon athletica,OS
52,Coach madison,175.0,Coach,OS
53,Aimee Kestenberg Leopard and Black Crossbody Bag,38.0,Aimee Kestenberg,OS
54,"Vera Bradley Night And Day Floral Satchel Bag Tote, Very Roomy - Black & White",25.0,Vera Bradley,OS
55,Kate Spade White Satchel Bag,89.0,kate spade,OS
56,"Stylish White Quilted Women's Bag
          
      NWT",18.0,wild fable,OS
57,"TORY BURCH Pebbled Leather Shoulder Bag With Adjustable Chain Vermillion Red
          
      NWT",349.0,Tory Burch,OS
58,Ann Taylor LOFT Black Silver Leather Shoulder Bag Chain Strap Bow,26.0,Ann Taylor,OS
59,Red Satin(like)?‎ 3D Rose All Purpose Mini Bag/Pouch with Drawstring,25.0,Unbranded,OS
60,See By Chloe Khaki Leather Shoulder Bag,2500.0,See By Chloe,OS
61,Louis Vuitton Damier Ebene Long snap wallet,200.0,Louis Vuitton,OS
62,Jim Benton It's Happy Bunny / Life. Get one. Pink Tote Bag,40.0,Jim Benton,OS
63,1960s Ladies Gold Purse,13.0,Vintage,OS
64,Fossil Off-White Crossbody Bag,40.0,Fossil,OS
65,"Steve Madden Ivory/Off White and Gold Studded Shoulder Bag
          
      NWT",60.0,Steve Madden,OS
66,Calvin Klein black and red nylon tote bag purse casual business travel,16.0,Calvin Klein,OS
67,Creaciones Exclusivas Lopez Camacho Red Leather Snakeskin Vintage Shoulder Bag,24.0,No Brand Listed,No Size Listed
68,Lolë Black Sherpa Belt Bag,5.0,Lole,OS
69,Gucci Soho Brown Leather  Flap Continental Wallet Like New,450.0,Gucci,OS
70,Tommy Hilfiger Red Crossbody Bag,24.0,Tommy Hilfiger,OS
71,Vintage Crochet Macrame Beaded Wood Handle Handbag Brown,25.0,Vintage,OS
72,MO & CO BAGS Messenger Olive Canvas w/ Brown Leather Accents XL Crossbody Boho,50.0,Mo,OS
73,70's Tote Bag,38.0,Vintage,OS
74,"Patricia Nash Carisbrooke Blue Renaissance Revival Collection
          
      NWT",195.0,Patricia Nash,OS
75,Coach Rare Hawaiian Palm Tropical Canvas Leather Unisex Rucksack Backpack F72083,248.0,Coach,No Size Listed
76,Louis Vuitton Monogram Mini Papillon NWOT dust bag France,785.0,Louis Vuitton,No Size Listed
77,Kate spade pink crossbody bag,165.0,kate spade,OS
78,Gucci GG Canvas Wallet with Brown and Green Accents,260.0,Gucci,OS
79,"Aimee Kestenberg 100% Genuine Leather Wallet Navy Blue Studded NWT
          
      NWT",30.0,Aimee Kestenberg,OS
80,"NWT Brahmin Large Duxbury Satchel & Wallet Set
          
      NWT",385.0,Brahmin,OS
81,"Vera Bradley NWOT LARGE Duffle Bag in Gorgeous “MIDNIGHT Garden” retired color
          
      NWT",99.0,Vera Bradley,OS
82,DV COLLECTION handbag,15.0,DV by Dolce Vita,OS
83,Y2K Victoria’s Secret PINK Large Bag Black White Silver Beach Festival 90’s NWOT,24.0,Victoria,OS
84,"💕Lululemon All Night Festival Bag 5L - Black w/ Gold Hardware Crossbody Sling
          
      NWT",56.0,lululemon athletica,OS
85,Kavu Canvas Tan Apple Print Shoulder Bag Tote  7x10x3 in,11.0,Kavu,OS
86,"❤️ Tory Burch Travel Dust Shoe Bag NWOT
          
      NWT",18.0,Tory Burch,OS
87,"Curateur Laude The Label GABBY Black and White Mini‎ Macramé Bag NWT
          
      NWT",21.0,No Brand Listed,No Size Listed
88,Fossil Black Pebbled Leather Two-Tone Crossbody Satchel Bag NWOT,55.0,fossil,OS
89,Dooney & Bourke Pebble Grain Crossbody 25 Gray | Timeless Minimalist City Chic,75.0,Dooney,OS
90,"Medium Brown Microfiber Leather Shoulder Bag with Minimalist Design
          
      Boutique",58.0,Blue Moon Under,OS
91,100% Genuine Leather Due Fratelli black and silver handbag.,22.0,due fratelli,OS
92,LOUIS VUITTON Brown Monogram Canvas Shoulder Bag,1960.0,Louis Vuitton,OS
93,Coach Hayden Foldover Lizard-Embossed Crossbody Clutch,150.0,Coach,No Size Listed
94,Dark grey Crossbody  Baggallini bag,45.0,Baggallini,OS
95,Vintage 90s Bally Croc-Embossed Leather Crossbody Saddle Bag,243.0,Bally,OS
96,Cleobella Paradise Beaded Crossbody Raffia Bucket Bag Anthropologie Beige Cream,31.0,Cleobella,OS
97,Fossil 1954 Multi Textured Leather Rectangle Satchel Shoulder Bag Black CUTE!,40.0,Fossil,OS
98,Dooney & Bourke Animal Print Crossbody Bag - Black and Cream,50.0,Dooney,OS
99,"Gucci Shopping Bag 18.5"" x 3"" x 14""",20.0,Gucci,OS
100,Louis Vuitton Red Epi Card Holder Wallet Vintage,225.0,Louis Vuitton,OS
101,Vintage Eric Javits Karung Pink shoulder bag,65.0,Eric Javits,OS
102,Vintage Dooney & Bourke Signature Logo Hobo Shoulder Handbag Purse Black,40.0,Dooney,OS
103,Ivy London black adjustable purse NWOT,16.0,Ivy London,OS
104,"T-SHIRT & Jeans Fanny Pack
          
      NWT",31.0,T,OS
105,Vintage Coach Black Leather Long Wallet Zip Around Clutch Purse,125.0,Coach,OS
106,"Coach Avary Carryall satchel / dust bag like 🆕

No detachable strap .",145.0,Coach,OS
107,"KBNL Classic Disney Chip'N'Dale Backpack with Laptop Compartment
          
      NWT",55.0,Disney,OS
108,Authentic Louis Vuitton Arlequin Brown Damier Backpack mn624-122825,1250.0,Louis Vuitton,No Size Listed
109,Prada 90s red Tessuto nylon leather buckle detail long zip wallet rare,162.0,Prada,No Size Listed
110,Shiraleah Chicago Tassel Clutch Black Purse Zipper Top Flap Front Faux Leather,13.0,Shiraleah,OS
111,"Roulens Small Crossbody Bag for Women, Leather",11.0,Roulens,OS
112,RARE POLO RALPH LAUREN WELLINGTON PATCHWORK TWEED CROSSBODY BAG PURSE BROWN,546.0,Polo Ralph Lauren,OS
113,Telfar Medium Shopping Bag in Black Tote Crossbody EUC,100.0,Telfar,OS
114,"New Patricia Nash Nazari Bifold Leather Wallet Green
          
      NWT",50.0,Patricia Nash,OS
115,Vintage Coach Ashley Black Leather Zipper Closure Wristlet Coin Wallet,35.0,Coach,OS
116,VICTORIA'S SECRET | LARGE INSULATED COOLER TOTE \ TRAVEL BAG - BRAND NEW!,45.0,Victoria,OS
117,DAKS CROSSBODY BAG,49.0,daks,OS
118,"Michael Kors Hamilton Medium Signature Logo Satchel
Jungle Green 
NWT
          
      NWT",136.0,Michael Kors,OS
119,💎✨HOT BUY✨💎AUTHENTIC Gucci Guccissima Leather Shoulder bag,975.0,Gucci,OS
120,"BOTKIER - NWT- brown leather large tote
          
      NWT",125.0,Botkier,OS
121,GHD Cosmetic Bag with Satin Bow Glitter Black And Silver Hair Styler Makeup Case,10.0,ghd,OS
122,y2k Mini Crossbody,37.0,No Brand Listed,No Size Listed
123,Coach White Pebbled Leather Jess Messenger Stagecoach Carriage Rainbow F72703,225.0,Coach,OS
124,Betsey Johnson Sequin Floral Lightweight Crossbody Bag Handbag Purse,35.0,Betsey Johnson,OS
125,"NWT. Zara Black Monochrome Mobile Phone Bag.
          
      NWT",35.0,Zara,OS
